"","year","month","day","gid"
"1",2016,"month_02/","day_28/","gid_2016_02_28_utabbc_phimlb_1/"
"2",2016,"month_02/","day_29/","gid_2016_02_29_bocbbc_bosmlb_1/"
"3",2016,"month_02/","day_29/","gid_2016_02_29_flsbbc_detmlb_1/"
"4",2016,"month_02/","day_29/","gid_2016_02_29_neubbc_bosmlb_2/"
"5",2016,"month_03/","day_01/","gid_2016_03_01_balmlb_atlmlb_1/"
"6",2016,"month_03/","day_01/","gid_2016_03_01_cinmlb_clemlb_1/"
"7",2016,"month_03/","day_01/","gid_2016_03_01_pitmlb_detmlb_1/"
"8",2016,"month_03/","day_01/","gid_2016_03_01_tormlb_phimlb_1/"
"9",2016,"month_03/","day_01/","gid_2016_03_01_uarbbc_arimlb_1/"
"10",2016,"month_03/","day_01/","gid_2016_03_01_umibbc_miamlb_1/"
"11",2016,"month_03/","day_02/","gid_2016_03_02_anamlb_sfnmlb_1/"
"12",2016,"month_03/","day_02/","gid_2016_03_02_arimlb_colmlb_1/"
"13",2016,"month_03/","day_02/","gid_2016_03_02_atlmlb_balmlb_1/"
"14",2016,"month_03/","day_02/","gid_2016_03_02_clemlb_cinmlb_1/"
"15",2016,"month_03/","day_02/","gid_2016_03_02_detmlb_nyamlb_1/"
"16",2016,"month_03/","day_02/","gid_2016_03_02_detmlb_pitmlb_1/"
"17",2016,"month_03/","day_02/","gid_2016_03_02_falbbc_slnmlb_1/"
"18",2016,"month_03/","day_02/","gid_2016_03_02_minmlb_bosmlb_1/"
"19",2016,"month_03/","day_02/","gid_2016_03_02_phimlb_tormlb_1/"
"20",2016,"month_03/","day_02/","gid_2016_03_02_sdnmlb_seamlb_1/"
"21",2016,"month_03/","day_02/","gid_2016_03_02_texmlb_kcamlb_1/"
"22",2016,"month_03/","day_02/","gid_2016_03_02_uwmbbc_milmlb_1/"
"23",2016,"month_03/","day_02/","gid_2016_03_02_wasmlb_tbamlb_1/"
"24",2016,"month_03/","day_03/","gid_2016_03_03_balmlb_tbamlb_1/"
"25",2016,"month_03/","day_03/","gid_2016_03_03_bosmlb_minmlb_1/"
"26",2016,"month_03/","day_03/","gid_2016_03_03_chamlb_lanmlb_1/"
"27",2016,"month_03/","day_03/","gid_2016_03_03_chnmlb_milmlb_1/"
"28",2016,"month_03/","day_03/","gid_2016_03_03_cinmlb_clemlb_1/"
"29",2016,"month_03/","day_03/","gid_2016_03_03_colmlb_arimlb_1/"
"30",2016,"month_03/","day_03/","gid_2016_03_03_detmlb_atlmlb_1/"
"31",2016,"month_03/","day_03/","gid_2016_03_03_houmlb_phimlb_1/"
"32",2016,"month_03/","day_03/","gid_2016_03_03_miamlb_slnmlb_1/"
"33",2016,"month_03/","day_03/","gid_2016_03_03_milmlb_sfnmlb_1/"
"34",2016,"month_03/","day_03/","gid_2016_03_03_nynmlb_wasmlb_1/"
"35",2016,"month_03/","day_03/","gid_2016_03_03_oakmlb_anamlb_1/"
"36",2016,"month_03/","day_03/","gid_2016_03_03_phimlb_nyamlb_1/"
"37",2016,"month_03/","day_03/","gid_2016_03_03_seamlb_sdnmlb_1/"
"38",2016,"month_03/","day_03/","gid_2016_03_03_texmlb_kcamlb_1/"
"39",2016,"month_03/","day_03/","gid_2016_03_03_tormlb_pitmlb_1/"
"40",2016,"month_03/","day_04/","gid_2016_03_04_anamlb_chnmlb_1/"
"41",2016,"month_03/","day_04/","gid_2016_03_04_atlmlb_phimlb_1/"
"42",2016,"month_03/","day_04/","gid_2016_03_04_balmlb_tormlb_1/"
"43",2016,"month_03/","day_04/","gid_2016_03_04_clemlb_chamlb_1/"
"44",2016,"month_03/","day_04/","gid_2016_03_04_colmlb_oakmlb_1/"
"45",2016,"month_03/","day_04/","gid_2016_03_04_kcamlb_sdnmlb_1/"
"46",2016,"month_03/","day_04/","gid_2016_03_04_lanmlb_texmlb_1/"
"47",2016,"month_03/","day_04/","gid_2016_03_04_miamlb_nynmlb_1/"
"48",2016,"month_03/","day_04/","gid_2016_03_04_minmlb_pitmlb_1/"
"49",2016,"month_03/","day_04/","gid_2016_03_04_nyamlb_detmlb_1/"
"50",2016,"month_03/","day_04/","gid_2016_03_04_oakmlb_arimlb_1/"
"51",2016,"month_03/","day_04/","gid_2016_03_04_seamlb_milmlb_1/"
"52",2016,"month_03/","day_04/","gid_2016_03_04_sfnmlb_cinmlb_1/"
"53",2016,"month_03/","day_04/","gid_2016_03_04_slnmlb_houmlb_1/"
"54",2016,"month_03/","day_04/","gid_2016_03_04_tbamlb_bosmlb_1/"
"55",2016,"month_03/","day_04/","gid_2016_03_04_wasmlb_miamlb_1/"
"56",2016,"month_03/","day_05/","gid_2016_03_05_anamlb_seamlb_1/"
"57",2016,"month_03/","day_05/","gid_2016_03_05_arimlb_lanmlb_1/"
"58",2016,"month_03/","day_05/","gid_2016_03_05_balmlb_minmlb_1/"
"59",2016,"month_03/","day_05/","gid_2016_03_05_bosmlb_nyamlb_1/"
"60",2016,"month_03/","day_05/","gid_2016_03_05_chamlb_kcamlb_1/"
"61",2016,"month_03/","day_05/","gid_2016_03_05_cinmlb_chnmlb_1/"
"62",2016,"month_03/","day_05/","gid_2016_03_05_detmlb_wasmlb_1/"
"63",2016,"month_03/","day_05/","gid_2016_03_05_milmlb_oakmlb_1/"
"64",2016,"month_03/","day_05/","gid_2016_03_05_nynmlb_houmlb_1/"
"65",2016,"month_03/","day_05/","gid_2016_03_05_phimlb_tormlb_1/"
"66",2016,"month_03/","day_05/","gid_2016_03_05_pitmlb_atlmlb_1/"
"67",2016,"month_03/","day_05/","gid_2016_03_05_sdnmlb_colmlb_1/"
"68",2016,"month_03/","day_05/","gid_2016_03_05_sfnmlb_clemlb_1/"
"69",2016,"month_03/","day_05/","gid_2016_03_05_slnmlb_miamlb_1/"
"70",2016,"month_03/","day_05/","gid_2016_03_05_tbamlb_balmlb_1/"
"71",2016,"month_03/","day_05/","gid_2016_03_05_texmlb_sfnmlb_1/"
"72",2016,"month_03/","day_06/","gid_2016_03_06_atlmlb_nynmlb_1/"
"73",2016,"month_03/","day_06/","gid_2016_03_06_balmlb_bosmlb_1/"
"74",2016,"month_03/","day_06/","gid_2016_03_06_chnmlb_arimlb_1/"
"75",2016,"month_03/","day_06/","gid_2016_03_06_clemlb_milmlb_1/"
"76",2016,"month_03/","day_06/","gid_2016_03_06_colmlb_cinmlb_1/"
"77",2016,"month_03/","day_06/","gid_2016_03_06_houmlb_pitmlb_1/"
"78",2016,"month_03/","day_06/","gid_2016_03_06_kcamlb_anamlb_1/"
"79",2016,"month_03/","day_06/","gid_2016_03_06_lanmlb_sfnmlb_1/"
"80",2016,"month_03/","day_06/","gid_2016_03_06_miamlb_detmlb_1/"
"81",2016,"month_03/","day_06/","gid_2016_03_06_minmlb_tbamlb_1/"
"82",2016,"month_03/","day_06/","gid_2016_03_06_nyamlb_phimlb_1/"
"83",2016,"month_03/","day_06/","gid_2016_03_06_oakmlb_sdnmlb_1/"
"84",2016,"month_03/","day_06/","gid_2016_03_06_sdnmlb_chamlb_1/"
"85",2016,"month_03/","day_06/","gid_2016_03_06_seamlb_texmlb_1/"
"86",2016,"month_03/","day_06/","gid_2016_03_06_tormlb_houmlb_1/"
"87",2016,"month_03/","day_06/","gid_2016_03_06_wasmlb_slnmlb_1/"
"88",2016,"month_03/","day_07/","gid_2016_03_07_anamlb_cinmlb_1/"
"89",2016,"month_03/","day_07/","gid_2016_03_07_arimlb_seamlb_1/"
"90",2016,"month_03/","day_07/","gid_2016_03_07_atlmlb_tormlb_1/"
"91",2016,"month_03/","day_07/","gid_2016_03_07_chamlb_anamlb_1/"
"92",2016,"month_03/","day_07/","gid_2016_03_07_chnmlb_colmlb_1/"
"93",2016,"month_03/","day_07/","gid_2016_03_07_clemlb_lanmlb_1/"
"94",2016,"month_03/","day_07/","gid_2016_03_07_detmlb_nynmlb_1/"
"95",2016,"month_03/","day_07/","gid_2016_03_07_houmlb_nyamlb_1/"
"96",2016,"month_03/","day_07/","gid_2016_03_07_kcamlb_chnmlb_1/"
"97",2016,"month_03/","day_07/","gid_2016_03_07_kcamlb_oakmlb_1/"
"98",2016,"month_03/","day_07/","gid_2016_03_07_miamlb_wasmlb_1/"
"99",2016,"month_03/","day_07/","gid_2016_03_07_minmlb_balmlb_1/"
"100",2016,"month_03/","day_07/","gid_2016_03_07_nynmlb_slnmlb_1/"
"101",2016,"month_03/","day_07/","gid_2016_03_07_phimlb_pitmlb_1/"
"102",2016,"month_03/","day_07/","gid_2016_03_07_sdnmlb_milmlb_1/"
"103",2016,"month_03/","day_07/","gid_2016_03_07_sfnmlb_texmlb_1/"
"104",2016,"month_03/","day_07/","gid_2016_03_07_tbamlb_bosmlb_1/"
"105",2016,"month_03/","day_08/","gid_2016_03_08_anamlb_arimlb_1/"
"106",2016,"month_03/","day_08/","gid_2016_03_08_arimlb_sdnmlb_1/"
"107",2016,"month_03/","day_08/","gid_2016_03_08_bosmlb_balmlb_1/"
"108",2016,"month_03/","day_08/","gid_2016_03_08_cinmlb_sfnmlb_1/"
"109",2016,"month_03/","day_08/","gid_2016_03_08_colmlb_kcamlb_1/"
"110",2016,"month_03/","day_08/","gid_2016_03_08_lanmlb_chnmlb_1/"
"111",2016,"month_03/","day_08/","gid_2016_03_08_milmlb_chamlb_1/"
"112",2016,"month_03/","day_08/","gid_2016_03_08_minmlb_tormlb_1/"
"113",2016,"month_03/","day_08/","gid_2016_03_08_nyamlb_miamlb_1/"
